ean,title,brand,price,productUrl,imageUrl,category
8710000000020,"Philips Sonicare C3 opzetborstels, 2 stuks",Philips Sonicare,16.99,https://www.bol.com/nl/p/opzetborstel-20/9000000019/,https://images.bol.com/sample/opzetborstel-20.jpg,Mondverzorging
8710000000021,"Philips Sonicare C3 opzetborstels, 4 opzetborstels",Philips Sonicare,29.99,https://www.bol.com/nl/p/opzetborstel-21/9000000020/,https://images.bol.com/sample/opzetborstel-21.jpg,Mondverzorging
8710000000022,"Philips Sonicare C2 opzetborstels, 2 stuks",Philips Sonicare,15.49,https://www.bol.com/nl/p/opzetborstel-22/9000000021/,https://images.bol.com/sample/opzetborstel-22.jpg,Mondverzorging
8710000000023,"Philips Sonicare C2 opzetborstels, set van 6",Philips Sonicare,39.99,https://www.bol.com/nl/p/opzetborstel-23/9000000022/,https://images.bol.com/sample/opzetborstel-23.jpg,Mondverzorging
8710000000024,"Philips Sonicare W2 opzetborstels, 2 stuks",Philips Sonicare,17.99,https://www.bol.com/nl/p/opzetborstel-24/9000000023/,https://images.bol.com/sample/opzetborstel-24.jpg,Mondverzorging
8710000000025,"Philips Sonicare G3 opzetborstels, 2 stuks",Philips Sonicare,18.49,https://www.bol.com/nl/p/opzetborstel-25/9000000024/,https://images.bol.com/sample/opzetborstel-25.jpg,Mondverzorging
8710000000026,"Jordan Clean Slim opzetborstels, 2 stuks",Jordan,7.99,https://www.bol.com/nl/p/opzetborstel-26/9000000025/,https://images.bol.com/sample/opzetborstel-26.jpg,Mondverzorging
8710000000027,"Jordan Clean Slim opzetborstels, 4 stuks",Jordan,13.99,https://www.bol.com/nl/p/opzetborstel-27/9000000026/,https://images.bol.com/sample/opzetborstel-27.jpg,Mondverzorging
8710000000028,"Jordan Target Sensitive opzetborstels, 2 stuks",Jordan,8.49,https://www.bol.com/nl/p/opzetborstel-28/9000000027/,https://images.bol.com/sample/opzetborstel-28.jpg,Mondverzorging
8710000000029,"Jordan Target Sensitive opzetborstels, 4 stuks",Jordan,14.99,https://www.bol.com/nl/p/opzetborstel-29/9000000028/,https://images.bol.com/sample/opzetborstel-29.jpg,Mondverzorging
8710000000030,"Jordan Green Clean opzetborstels, 2 stuks",Jordan,8.99,https://www.bol.com/nl/p/opzetborstel-30/9000000029/,https://images.bol.com/sample/opzetborstel-30.jpg,Mondverzorging
8710000000031,"Oral-B Precision Clean opzetborstels, set van 6",Oral-B,32.99,https://www.bol.com/nl/p/opzetborstel-31/9000000030/,https://images.bol.com/sample/opzetborstel-31.jpg,Mondverzorging
8710000000032,"Oral-B CrossAction opzetborstels, 2 + 2",Oral-B,24.49,https://www.bol.com/nl/p/opzetborstel-32/9000000031/,https://images.bol.com/sample/opzetborstel-32.jpg,Mondverzorging
8710000000033,"Oral-B Sensitive opzetborstels, 8-pack",Oral-B,38.99,https://www.bol.com/nl/p/opzetborstel-33/9000000032/,https://images.bol.com/sample/opzetborstel-33.jpg,Mondverzorging
8710000000034,"Oral-B iO opzetborstels, 8 stuks",Oral-B,79.99,https://www.bol.com/nl/p/opzetborstel-34/9000000033/,https://images.bol.com/sample/opzetborstel-34.jpg,Mondverzorging
8710000000035,"Oral-B 3D White opzetborstels, 4 stuks",Oral-B,24.99,https://www.bol.com/nl/p/opzetborstel-35/9000000034/,https://images.bol.com/sample/opzetborstel-35.jpg,Mondverzorging
8710000000036,"Oral-B 3D White opzetborstels, set van 6",Oral-B,33.99,https://www.bol.com/nl/p/opzetborstel-36/9000000035/,https://images.bol.com/sample/opzetborstel-36.jpg,Mondverzorging
8710000000037,"Philips Sonicare ProResults opzetborstels, set van 6",Philips Sonicare,36.99,https://www.bol.com/nl/p/opzetborstel-37/9000000036/,https://images.bol.com/sample/opzetborstel-37.jpg,Mondverzorging
8710000000038,"Philips Sonicare DiamondClean opzetborstels, 8 stuks",Philips Sonicare,67.99,https://www.bol.com/nl/p/opzetborstel-38/9000000037/,https://images.bol.com/sample/opzetborstel-38.jpg,Mondverzorging
8710000000039,"Philips Sonicare DiamondClean opzetborstels, (x8)",Philips Sonicare,68.49,https://www.bol.com/nl/p/opzetborstel-39/9000000038/,https://images.bol.com/sample/opzetborstel-39.jpg,Mondverzorging
8710000000040,"Philips Sonicare C3 opzetborstels, 8-pack",Philips Sonicare,54.99,https://www.bol.com/nl/p/opzetborstel-40/9000000039/,https://images.bol.com/sample/opzetborstel-40.jpg,Mondverzorging
8710000000041,"Philips Sonicare C2 opzetborstels, 4 stuks",Philips Sonicare,27.99,https://www.bol.com/nl/p/opzetborstel-41/9000000040/,https://images.bol.com/sample/opzetborstel-41.jpg,Mondverzorging
8710000000042,"Philips Sonicare W2 opzetborstels, 4 opzetborstels",Philips Sonicare,31.99,https://www.bol.com/nl/p/opzetborstel-42/9000000041/,https://images.bol.com/sample/opzetborstel-42.jpg,Mondverzorging
8710000000043,"Philips Sonicare G3 opzetborstels, 4-pack",Philips Sonicare,33.99,https://www.bol.com/nl/p/opzetborstel-43/9000000042/,https://images.bol.com/sample/opzetborstel-43.jpg,Mondverzorging
8710000000044,"Philips Sonicare InterCare opzetborstels, 2 stuks",Philips Sonicare,16.49,https://www.bol.com/nl/p/opzetborstel-44/9000000043/,https://images.bol.com/sample/opzetborstel-44.jpg,Mondverzorging
8710000000045,"Philips Sonicare InterCare opzetborstels, 4 stuks",Philips Sonicare,28.99,https://www.bol.com/nl/p/opzetborstel-45/9000000044/,https://images.bol.com/sample/opzetborstel-45.jpg,Mondverzorging
8710000000046,"Opzetborstels geschikt voor Oral-B, 8 stuks",Compatible,14.99,https://www.bol.com/nl/p/opzetborstel-46/9000000045/,https://images.bol.com/sample/opzetborstel-46.jpg,Mondverzorging
8710000000047,"Opzetborstels vervangende opzetborstels Oral-B CrossAction, 4-pack",Compatible,9.99,https://www.bol.com/nl/p/opzetborstel-47/9000000046/,https://images.bol.com/sample/opzetborstel-47.jpg,Mondverzorging
8710000000048,"Opzetborstels geschikt voor Sonicare, set van 6",Compatible,13.49,https://www.bol.com/nl/p/opzetborstel-48/9000000047/,https://images.bol.com/sample/opzetborstel-48.jpg,Mondverzorging
8710000000049,"Opzetborstels universeel compatible opzetborstels, 8 stuks",Compatible,12.99,https://www.bol.com/nl/p/opzetborstel-49/9000000048/,https://images.bol.com/sample/opzetborstel-49.jpg,Mondverzorging
8710000000050,Opzetborstels alternatief voor Oral-B Precision Clean (x8),Compatible,15.49,https://www.bol.com/nl/p/opzetborstel-50/9000000049/,https://images.bol.com/sample/opzetborstel-50.jpg,Mondverzorging
